Year,State,CO2_Value,Coal_Value,Natural_Gas_Value,Nuclear_Energy_Value,Petroleum_Energy_Value,Renewable_Energy_Value
1970,Tennessee,19.8,"403,742","261,784",0,"389,234","138,417"
1970,Texas,31.9,"30,767","4,203,877",0,"2,610,292","62,757"
1970,Utah,22.9,"78,777","114,377",0,"165,826","10,079"
1970,Vermont,12.4,"2,129","2,679",0,"73,893","14,717"
1970,Virginia,18.6,"275,311","140,072",0,"745,710","62,711"
1970,Washington,13.1,"5,860","158,242","28,693","506,713","796,121"
1970,West Virginia,44.0,"612,375","186,535",0,"154,461","21,152"
1970,Wisconsin,19.9,"381,558","344,241","1,725","510,121","58,313"
1970,Wyoming,55.7,"63,488","112,526",0,"102,687","12,129"
1971,Alabama,28.2,"626,054","294,838",0,"364,985","158,182"
1971,Alaska,40.0,"14,121","68,045",0,"109,703","9,094"
1971,Arizona,14.2,"8,876","225,898",0,"221,223","74,136"
1971,Arkansas,17.8,51,"334,979",0,"269,003","53,579"
1971,California,15.0,"51,015","2,265,324","38,137","2,655,395","533,790"
1971,Colorado,18.9,"105,682","281,846",0,"287,557","25,526"
1971,Connecticut,15.0,"36,411","62,417","84,173","544,345","20,206"
1971,Delaware,28.2,"36,677","26,981",0,"154,105","7,673"
1971,District of Columbia,15.8,"15,432","27,663",0,"121,369",116
1971,Florida,15.6,"117,154","350,527",0,"1,168,143","49,968"
1971,Georgia,16.9,"219,607","353,199",0,"596,435","109,007"
1971,Hawaii,18.8,0,0,0,"210,390","1,283"
1971,Idaho,15.0,"12,157","53,152",0,"107,407","89,445"
1971,Illinois,21.8,"843,847","1,260,009","47,396","1,491,335","40,628"
1971,Indiana,32.2,"942,253","570,398",0,"769,271","27,156"
1971,Iowa,18.7,"124,704","347,740",0,"358,258","16,122"
1971,Kansas,23.5,"10,817","605,775",0,"306,270","3,941"
1971,Kentucky,26.8,"550,397","248,514",0,"360,989","61,912"
1971,Louisiana,39.5,0,"1,938,558",0,"922,075","41,912"
1971,Maine,20.3,"2,301","1,475",0,"281,791","55,423"
1971,Maryland,18.8,"273,953","164,689",0,"587,854","49,264"
1971,Massachusetts,17.4,"13,054","158,329","15,554","1,251,293","61,247"
1971,Michigan,21.5,"837,639","863,320","4,200","991,998","53,960"
1971,Minnesota,17.8,"155,594","352,144","15,106","527,837","33,768"
1971,Mississippi,17.9,"13,498","387,779",0,"288,999","32,841"
1971,Missouri,18.8,"294,143","432,108",0,"584,900","30,407"
1971,Montana,20.9,"11,475","91,096",0,"133,161","107,251"
1971,Nebraska,18.3,"26,322","225,463",0,"195,489","15,845"
1971,Nevada,26.5,"36,438","71,965",0,"96,024","18,651"
1971,New Hampshire,17.5,"25,496","7,658",0,"149,111","24,733"
1971,New Jersey,17.2,"91,498","335,264","41,455","1,417,667","26,621"
1971,New Mexico,35.3,"120,695","291,726",0,"157,066","4,965"
1971,New York,15.1,"435,654","731,597","70,670","2,745,083","326,609"
1971,North Carolina,19.1,"484,598","164,420",0,"647,225","128,148"
1971,North Dakota,25.4,"67,672","34,618",0,"119,462","34,285"
1971,Ohio,25.1,"1,490,481","1,112,130",0,"1,071,726","43,520"
1971,Oklahoma,21.5,164,"631,152",0,"369,703","21,321"
1971,Oregon,12.6,"3,376","105,437",0,"311,295","419,311"
1971,Pennsylvania,25.5,"1,619,609","828,583","4,823","1,558,163","60,573"
1971,Rhode Island,14.1,211,"26,201",0,"173,903","4,851"
1971,South Carolina,16.5,"152,014","160,638","26,162","313,088","78,568"
1971,South Dakota,13.9,"5,817","31,959",0,"106,581","82,558"
1971,Tennessee,19.0,"369,984","270,841",0,"402,895","153,090"
1971,Texas,32.6,"24,048","4,482,576",0,"2,672,581","60,471"
1971,Utah,23.2,"78,743","113,876",0,"179,959","12,615"
1971,Vermont,12.1,"1,942","3,066",0,"73,664","14,594"
1971,Virginia,18.4,"230,247","147,758",0,"811,980","66,364"
1971,Washington,13.4,"6,396","165,279","27,667","520,422","817,275"
1971,West Virginia,44.0,"618,797","183,553",0,"160,762","22,281"
1971,Wisconsin,19.0,"337,268","354,746","37,596","513,461","61,793"
1971,Wyoming,55.3,"58,819","117,938",0,"108,054","15,331"
1972,Alabama,29.7,"669,734","287,100",0,"405,130","164,946"
1972,Alaska,41.4,"12,753","75,032",0,"117,919","8,673"
1972,Arizona,15.0,"7,523","241,355",0,"261,095","75,189"
1972,Arkansas,18.4,50,"317,640",0,"311,260","53,917"
1972,California,15.2,"47,452","2,303,562","34,266","2,734,460","472,312"
1972,Colorado,19.7,"119,005","301,651",0,"311,194","22,935"
1972,Connecticut,15.4,"4,249","65,032","83,932","605,010","22,712"
1972,Delaware,27.9,"23,493","24,569",0,"174,116","8,190"
1972,District of Columbia,15.2,"12,557","28,976",0,"116,424",118
1972,Florida,16.2,"123,613","311,235",713,"1,328,377","54,389"
1972,Georgia,18.0,"261,592","341,408",0,"653,498","114,745"
1972,Hawaii,18.7,0,0,0,"216,566","1,491"
1972,Idaho,15.3,"10,531","60,084",0,"114,019","92,776"
1972,Illinois,22.5,"852,205","1,237,471","141,019","1,642,384","41,490"
1972,Indiana,34.7,"1,050,876","580,410",0,"823,822","30,826"
1972,Iowa,19.7,"144,863","347,617",0,"374,107","17,235"
1972,Kansas,24.9,"12,416","626,853",0,"333,077","5,702"
1972,Kentucky,28.2,"583,808","259,546",0,"387,962","66,566"
1972,Louisiana,41.3,0,"1,996,015",0,"1,040,684","44,819"
1972,Maine,21.4,"1,402","1,554",586,"304,132","59,882"
1972,Maryland,18.7,"226,421","180,283",0,"650,889","56,117"
1972,Massachusetts,18.0,"7,677","162,204","16,179","1,307,345","59,302"
1972,Michigan,22.1,"843,677","877,742","22,935","1,074,861","56,203"
1972,Minnesota,18.8,"161,572","352,111","38,405","583,054","35,695"
1972,Mississippi,18.8,"13,952","387,436",0,"330,721","32,432"
1972,Missouri,19.9,"334,355","428,192",0,"612,120","29,355"
1972,Montana,21.8,"13,182","87,020",0,"146,327","104,348"
1972,Nebraska,19.4,"33,509","226,358",0,"211,472","16,822"
1972,Nevada,34.6,"84,363","75,223",0,"103,141","17,274"
1972,New Hampshire,18.0,"30,649","8,015",0,"153,180","26,131"
1972,New Jersey,17.4,"31,985","329,642","47,008","1,551,304","29,554"
1972,New Mexico,36.8,"123,807","311,897",0,"173,727","4,746"
1972,New York,14.9,"355,384","707,277","69,775","2,847,192","347,985"
1972,North Carolina,19.7,"492,784","167,831",0,"708,734","135,756"
1972,North Dakota,26.7,"72,820","37,604",0,"120,172","32,507"
1972,Ohio,26.5,"1,561,035","1,174,203",0,"1,151,713","44,940"
1972,Oklahoma,22.3,165,"649,909",0,"395,038","26,724"
1972,Oregon,13.4,"2,240","115,326",0,"340,285","435,930"
1972,Pennsylvania,26.4,"1,662,309","856,316","3,112","1,650,519","70,114"
1972,Rhode Island,13.8,157,"22,966",0,"173,492","4,934"
1972,South Carolina,17.2,"174,934","148,156","52,110","332,011","77,077"
1972,South Dakota,14.3,"5,309","34,214",0,"111,604","78,339"
1972,Tennessee,21.2,"444,326","283,375",0,"444,471","173,103"
1972,Texas,33.9,"50,140","4,531,777",0,"2,995,419","67,560"
1972,Utah,22.7,"77,580","116,399",0,"186,443","15,234"
1972,Vermont,12.5,"1,355","3,817","1,828","77,415","15,955"
1972,Virginia,18.4,"198,893","159,705","4,836","860,821","70,488"
1972,Washington,15.2,"36,581","179,823","31,500","555,922","854,559"
1972,West Virginia,49.5,"716,520","204,916",0,"170,824","24,771"
1972,Wisconsin,18.7,"333,641","326,921","35,547","532,257","65,646"
1972,Wyoming,62.4,"80,086","128,728",0,"111,447","13,492"
1973,Alabama,30.6,"688,650","279,958","3,425","450,532","181,706"
1973,Alaska,37.7,"13,286","63,703",0,"112,132","7,844"
1973,Arizona,16.2,"9,927","226,325",0,"325,852","79,348"
1973,Arkansas,19.8,"2,262","327,475",0,"352,744","81,723"
1973,California,15.8,"66,956","2,154,045","28,689","3,048,428","553,162"
1973,Colorado,20.5,"140,487","311,694",0,"327,648","23,623"
1973,Connecticut,15.8,"2,625","63,548","46,911","627,116","21,870"
1973,Delaware,29.8,"21,047","23,408",0,"194,427","8,483"
1973,District of Columbia,16.2,"14,060","28,177",0,"122,451",114
1973,Florida,16.7,"152,578","324,892","51,038","1,431,818","56,250"
1973,Georgia,19.0,"271,501","358,532",0,"719,582","125,605"
1973,Hawaii,18.7,0,0,0,"222,784","1,528"
1973,Idaho,15.3,"10,636","59,296",0,"117,922","97,216"
1973,Illinois,22.8,"884,606","1,176,722","218,614","1,707,354","43,861"
1973,Indiana,35.3,"1,097,874","541,215",0,"862,088","32,102"
1973,Iowa,20.8,"148,656","369,016",0,"395,831","16,691"
1973,Kansas,25.2,"24,625","597,207",0,"352,878","6,031"
1973,Kentucky,28.0,"573,386","250,136",0,"417,414","67,629"
1973,Louisiana,44.6,0,"2,072,164",0,"1,192,015","45,748"
1973,Maine,20.4,"1,418","1,657","36,540","294,332","64,648"
1973,Maryland,19.9,"256,761","177,629",0,"695,256","55,059"
1973,Massachusetts,17.9,"5,151","157,258","55,829","1,309,889","56,501"
1973,Michigan,22.0,"791,284","929,555","32,490","1,122,745","47,225"
1973,Minnesota,19.5,"180,736","360,450","35,654","602,583","36,452"
1973,Mississippi,18.8,"29,485","321,528",0,"370,581","32,195"
1973,Missouri,20.9,"383,451","424,673",0,"632,136","43,807"
1973,Montana,23.4,"15,243","93,117",0,"156,521","84,637"
1973,Nebraska,19.7,"36,867","230,780","6,536","214,162","16,912"
1973,Nevada,35.3,"90,083","77,967",0,"110,673","18,356"
1973,New Hampshire,17.0,"28,325","8,120",0,"150,480","30,671"
1973,New Jersey,17.9,"66,132","309,709","39,087","1,578,425","30,289"
1973,New Mexico,36.2,"134,490","274,018",0,"191,733","4,896"
1973,New York,15.4,"369,320","703,023","78,793","2,926,764","364,685"
1973,North Carolina,20.2,"531,706","165,215",0,"727,331","142,789"
1973,North Dakota,25.9,"71,095","33,206",0,"120,862","25,135"
1973,Ohio,27.1,"1,622,805","1,131,760",0,"1,208,961","46,607"
1973,Oklahoma,22.2,"4,085","625,808",0,"414,787","50,756"
1973,Oregon,13.2,"2,144","114,331",0,"344,095","351,043"
1973,Pennsylvania,27.4,"1,798,616","811,496","3,941","1,655,536","70,871"
1973,Rhode Island,12.9,149,"20,888",0,"165,859","5,108"
1973,South Carolina,17.6,"167,908","157,128","67,229","361,835","83,883"
1973,South Dakota,13.9,"6,341","31,283",0,"110,634","51,534"
1973,Tennessee,23.8,"532,943","300,079",0,"485,933","177,886"
1973,Texas,36.2,"125,909","4,746,155",0,"3,295,589","78,102"
1973,Utah,24.1,"98,848","116,335",0,"190,457","14,683"
1973,Vermont,12.7,"1,473","4,212","17,422","78,922","17,149"
1973,Virginia,18.3,"195,912","156,669","74,765","884,314","69,214"
1973,Washington,16.5,"64,974","207,952","48,321","572,821","783,243"
1973,West Virginia,54.0,"810,162","191,905",0,"178,310","24,229"
1973,Wisconsin,18.9,"310,735","373,480","64,894","550,614","67,818"
1973,Wyoming,66.9,"102,406","110,445",0,"121,873","14,024"
1974,Alabama,30.0,"653,405","282,454","70,195","476,203","166,734"
1974,Alaska,37.5,"12,485","63,188",0,"117,486","8,329"
1974,Arizona,16.5,"48,359","204,955",0,"325,753","82,058"
1974,Arkansas,18.6,"2,665","290,102","4,024","354,177","81,339"
1974,California,14.4,"60,670","1,937,140","41,277","2,872,447","645,073"
1974,Colorado,19.9,"138,302","302,725",0,"322,973","24,207"
1974,Connecticut,14.8,"6,522","67,139","88,951","574,032","22,509"
1974,Delaware,28.7,"21,254","20,772",0,"189,686","8,466"
1974,District of Columbia,13.7,"12,288","27,559",0,"98,379",129
1974,Florida,15.0,"146,604","302,002","87,919","1,347,129","52,429"
1974,Georgia,18.3,"283,947","339,589",487,"694,383","121,581"
1974,Hawaii,17.4,0,0,0,"210,553","1,550"
1974,Idaho,14.9,"11,362","55,285",0,"120,239","111,472"
1974,Illinois,22.4,"874,930","1,175,830","218,667","1,643,496","43,952"
1974,Indiana,33.9,"1,038,072","530,276",0,"851,571","32,017"
1974,Iowa,19.6,"128,173","371,639","14,842","377,015","16,976"
1974,Kansas,25.3,"39,107","578,795",0,"354,364","5,915"
1974,Kentucky,27.9,"593,822","231,423",0,"408,739","66,669"
1974,Louisiana,45.1,0,"2,068,614",0,"1,258,807","44,928"
1974,Maine,17.7,"1,957","1,635","39,893","258,683","64,263"
1974,Maryland,18.5,"217,510","175,541",0,"671,671","52,381"
1974,Massachusetts,16.4,"26,447","156,666","32,196","1,161,502","56,959"
1974,Michigan,20.9,"709,962","942,595","4,641","1,082,014","50,587"
1974,Minnesota,19.1,"188,665","351,995","48,695","575,569","35,899"
1974,Mississippi,18.2,"34,581","283,104",0,"378,835","31,279"
1974,Missouri,20.4,"382,005","411,933",0,"610,794","44,031"
1974,Montana,22.5,"14,717","81,667",0,"158,426","106,573"
1974,Nebraska,18.9,"32,763","223,253","44,596","210,070","16,161"
1974,Nevada,34.2,"100,463","67,689",0,"109,083","17,762"
1974,New Hampshire,15.4,"25,275","8,391",0,"139,001","28,694"
1974,New Jersey,16.3,"82,477","282,201","41,000","1,414,664","33,097"
1974,New Mexico,35.9,"140,947","273,397",0,"193,141","4,919"
1974,New York,14.3,"374,196","641,925","103,490","2,662,440","362,988"
1974,North Carolina,19.1,"522,825","143,722",0,"685,130","139,607"
1974,North Dakota,26.6,"76,484","35,530",0,"117,592","28,922"
1974,Ohio,27.1,"1,642,125","1,114,904",0,"1,182,948","48,408"
1974,Oklahoma,22.6,"4,187","681,130",0,"408,315","48,830"
1974,Oregon,12.0,"3,251","102,365",0,"318,409","432,867"
1974,Pennsylvania,25.7,"1,661,359","732,721","78,108","1,602,646","72,077"
1974,Rhode Island,12.1,954,"24,090",0,"147,937","5,023"
1974,South Carolina,16.1,"155,268","135,291","123,406","353,785","79,895"
1974,South Dakota,13.5,"7,356","32,044",0,"102,368","60,394"
1974,Tennessee,21.4,"470,336","265,374",0,"470,394","180,418"
1974,Texas,34.8,"133,141","4,584,002",0,"3,312,660","76,691"
1974,Utah,24.7,"107,648","115,206",0,"199,781","12,440"
1974,Vermont,11.2,"1,469","4,785","27,708","69,940","16,134"
1974,Virginia,17.1,"176,954","146,811","66,437","853,442","66,085"
1974,Washington,15.0,"54,167","191,311","43,409","539,132","926,539"
1974,West Virginia,55.3,"841,804","186,565",0,"181,101","23,779"
1974,Wisconsin,18.1,"278,640","386,865","92,144","527,154","65,621"
1974,Wyoming,65.3,"109,107","95,363",0,"124,555","16,196"
1975,Alabama,29.3,"640,063","271,747","29,978","487,794","184,701"
1975,Alaska,38.6,"15,271","85,175",0,"123,119","8,608"
1975,Arizona,16.7,"92,449","164,346",0,"306,751","80,897"
1975,Arkansas,16.8,862,"257,445","53,676","341,236","71,589"
1975,California,14.5,"56,405","1,937,322","66,855","2,976,517","578,578"
1975,Colorado,20.0,"159,333","280,996",0,"326,510","24,728"
1975,Connecticut,13.5,"1,272","64,331","89,590","533,254","22,237"
1975,Delaware,26.5,"22,938","18,975",0,"174,335","7,901"
1975,District of Columbia,11.2,"10,142","26,210",0,"75,960",131
1975,Florida,14.8,"133,463","292,139","92,177","1,378,200","50,007"
1975,Georgia,18.1,"311,988","335,376","34,063","655,514","123,427"
1975,Hawaii,17.2,0,0,0,"212,880","1,498"
1975,Idaho,15.8,"13,416","63,776",0,"125,511","118,011"
1975,Illinois,21.7,"845,574","1,123,588","245,760","1,621,647","42,898"
1975,Indiana,33.4,"1,061,168","472,567",0,"814,685","31,342"
1975,Iowa,19.1,"131,562","348,564","25,235","373,735","17,029"
1975,Kansas,25.2,"62,280","490,748",0,"384,086","5,811"
1975,Kentucky,26.3,"558,334","209,199",0,"415,496","66,857"
1975,Louisiana,41.1,0,"1,854,766",0,"1,205,113","42,358"
1975,Maine,15.0,"1,311","1,976","49,586","222,178","60,423"
1975,Maryland,16.2,"197,160","141,854","48,307","593,652","55,834"
1975,Massachusetts,15.9,"24,484","154,583","41,636","1,124,579","53,325"
1975,Michigan,21.0,"750,983","894,795","79,031","1,076,579","47,458"
1975,Minnesota,18.5,"191,490","331,518","107,372","556,785","36,949"
1975,Mississippi,17.0,"33,355","235,345",0,"377,776","31,152"
1975,Missouri,21.0,"430,226","371,837",0,"613,301","40,414"
1975,Montana,22.5,"18,630","81,190",0,"154,673","112,007"
1975,Nebraska,18.6,"32,886","217,521","65,153","208,267","15,399"
1975,Nevada,33.8,"101,298","65,355",0,"115,914","18,827"
1975,New Hampshire,15.2,"26,187","7,707",0,"137,438","25,853"
1975,New Jersey,14.4,"60,498","251,669","34,645","1,269,139","30,950"
1975,New Mexico,33.8,"132,535","255,637",0,"199,475","6,002"
1975,New York,13.6,"312,508","585,536","144,387","2,575,898","354,900"
1975,North Carolina,17.2,"476,522","116,889","15,477","636,312","139,828"
1975,North Dakota,25.4,"67,943","36,862",0,"116,903","35,262"
1975,Ohio,26.4,"1,619,050","978,885",0,"1,200,334","46,299"
1975,Oklahoma,22.5,537,"678,851",0,"421,722","42,644"
1975,Oregon,11.5,"2,673","114,184",23,"306,615","417,387"
1975,Pennsylvania,24.5,"1,646,695","670,085","174,766","1,469,329","73,865"
1975,Rhode Island,11.1,147,"23,453",0,"136,846","4,050"
1975,South Carolina,14.7,"140,171","125,900","214,291","337,376","87,805"
1975,South Dakota,16.0,"24,282","32,534",0,"103,528","83,960"
1975,Tennessee,21.0,"471,919","224,065",0,"492,805","177,299"
1975,Texas,32.4,"196,172","4,046,930",0,"3,220,686","75,872"
1975,Utah,25.1,"115,740","117,952",0,"203,889","14,074"
1975,Vermont,10.8,744,"4,005","39,220","68,977","16,361"
1975,Virginia,16.1,"169,188","123,625","98,782","824,369","66,861"
1975,Washington,15.2,"76,241","171,236","36,432","548,878","935,362"
1975,West Virginia,53.1,"817,441","164,297",0,"198,211","22,798"
1975,Wisconsin,17.6,"272,045","372,097","113,356","524,308","66,067"
1975,Wyoming,66.3,"128,034","81,434",0,"129,694","13,226"
1976,Alabama,28.9,"632,096","232,758","46,557","532,874","160,994"
1976,Alaska,39.8,"13,706","90,571",0,"141,170","9,201"
1976,Arizona,18.7,"139,960","180,181",0,"307,360","84,428"
1976,Arkansas,17.9,"3,578","248,194","42,614","379,963","62,300"
1976,California,14.9,"66,630","1,849,711","53,107","3,244,758","422,852"
1976,Colorado,20.9,"185,147","276,287",0,"344,788","23,636"
1976,Connecticut,14.1,"1,152","66,382","136,215","555,426","23,862"
1976,Delaware,27.4,"20,186","19,662",0,"185,462","9,607"
1976,District of Columbia,11.1,"5,844","29,040",0,"76,714",146
1976,Florida,15.5,"141,836","300,867","95,538","1,477,405","56,507"
1976,Georgia,18.7,"347,552","268,375","45,666","727,308","135,157"
1976,Hawaii,17.3,0,0,0,"218,380","1,663"
1976,Idaho,15.1,"15,162","49,843",0,"130,343","121,380"
1976,Illinois,22.4,"862,231","1,204,616","292,243","1,671,086","47,471"
1976,Indiana,33.7,"1,062,942","420,969",0,"877,430","36,021"
1976,Iowa,20.2,"169,471","313,917","27,384","410,376","15,187"
1976,Kansas,26.3,"73,379","505,408",0,"402,421","6,526"
1976,Kentucky,28.6,"617,452","248,673",0,"446,144","68,110"
1976,Louisiana,46.2,0,"2,121,366",0,"1,378,762","45,170"
1976,Maine,17.1,"1,050","2,083","65,496","258,409","70,099"
1976,Maryland,17.5,"245,318","149,642","70,921","607,311","56,373"
1976,Massachusetts,16.8,"3,953","157,185","40,475","1,215,625","60,502"
1976,Michigan,21.2,"717,683","895,140","109,371","1,143,534","52,481"
1976,Minnesota,19.6,"222,441","319,516","109,482","599,225","35,632"
1976,Mississippi,17.8,"42,531","203,702",0,"420,661","34,819"
1976,Missouri,22.2,"468,324","381,399",0,"644,310","39,537"
1976,Montana,25.7,"42,179","75,412",0,"166,959","135,822"
1976,Nebraska,20.1,"53,712","197,442","64,335","229,551","16,378"
1976,Nevada,34.4,"111,294","71,205",0,"115,566","17,457"
1976,New Hampshire,16.2,"20,331","7,919",0,"159,996","31,050"
1976,New Jersey,16.0,"70,596","332,467","42,587","1,348,518","35,091"
1976,New Mexico,35.3,"137,492","294,878",0,"202,452","6,781"
1976,New York,14.6,"363,821","604,276","172,988","2,746,055","368,500"
1976,North Carolina,18.9,"544,481","102,996","27,744","706,387","136,973"
1976,North Dakota,28.8,"91,487","41,177",0,"116,538","34,411"
1976,Ohio,27.6,"1,653,336","1,031,075",0,"1,287,362","52,843"
1976,Oklahoma,24.4,"1,541","770,752",0,"439,476","29,303"
1976,Oregon,11.2,"5,876","95,830","23,227","312,312","434,370"
1976,Pennsylvania,25.9,"1,682,817","731,356","181,447","1,623,254","81,184"
1976,Rhode Island,11.2,146,"20,966",0,"140,424","4,704"
1976,South Carolina,17.2,"171,042","152,416","197,186","386,714","83,353"
1976,South Dakota,18.2,"37,063","39,168",0,"103,359","74,830"
1976,Tennessee,23.5,"561,514","218,483",0,"551,645","160,069"
1976,Texas,32.7,"226,342","4,074,690",0,"3,481,271","75,965"
1976,Utah,24.1,"101,774","138,603",0,"207,169","14,974"
1976,Vermont,12.1,579,"3,700","36,013","78,973","19,325"
1976,Virginia,16.8,"202,247","125,855","85,506","856,635","76,045"
1976,Washington,14.9,"81,205","154,881","26,568","558,392","1,051,188"
1976,West Virginia,55.4,"872,351","157,204",0,"216,353","24,758"
1976,Wisconsin,18.3,"303,970","320,512","118,450","570,026","69,570"
1976,Wyoming,77.7,"179,069","82,478",0,"139,354","12,547"
1977,Alabama,29.5,"629,412","248,715","210,228","573,518","174,751"
1977,Alaska,44.5,"10,259","116,859",0,"154,922","11,449"
1977,Arizona,20.8,"179,847","176,449",0,"351,150","75,681"
1977,Arkansas,18.9,"5,244","234,379","54,759","424,446","69,746"
1977,California,15.9,"75,109","1,864,187","87,396","3,611,311","338,073"
1977,Colorado,21.6,"223,762","253,994","2,421","355,019","23,658"
1977,Connecticut,14.0,"1,167","64,709","141,876","550,634","24,105"
1977,Delaware,27.3,"17,713","16,261",0,"189,670","10,161"
1977,District of Columbia,11.7,"3,991","26,212",0,"84,100",158
1977,Florida,15.6,"159,934","315,950","189,076","1,502,009","59,953"
1977,Georgia,20.1,"415,733","271,811","39,985","757,522","136,122"
1977,Hawaii,18.2,0,0,0,"231,980","1,355"
1977,Idaho,14.6,"12,102","48,269",0,"134,913","85,968"
1977,Illinois,22.5,"860,555","1,199,778","307,424","1,711,734","51,314"
1977,Indiana,34.3,"1,109,953","394,286",0,"910,868","38,768"
1977,Iowa,20.2,"185,141","281,367","31,102","417,143","17,088"
1977,Kansas,26.7,"89,517","497,279",0,"408,962","6,852"
1977,Kentucky,28.4,"613,466","221,936",0,"478,067","64,140"
1977,Louisiana,51.0,"1,774","2,274,100",0,"1,605,874","46,692"
1977,Maine,17.2,603,"2,047","55,386","263,043","72,689"
1977,Maryland,16.2,"189,728","135,168","117,181","617,684","59,569"
1977,Massachusetts,16.6,"4,008","161,465","39,571","1,195,175","63,357"
1977,Michigan,20.2,"692,982","745,743","110,182","1,170,987","54,719"
1977,Minnesota,19.9,"264,929","292,501","120,211","584,823","36,725"
1977,Mississippi,19.2,"38,658","202,631",0,"477,480","36,230"
1977,Missouri,22.9,"503,909","367,704",0,"667,599","37,981"
1977,Montana,26.8,"57,814","71,595",0,"163,936","97,331"
1977,Nebraska,20.0,"59,344","188,426","80,249","231,193","16,136"
1977,Nevada,35.0,"115,938","74,534",0,"127,198","18,381"
1977,New Hampshire,16.2,"26,470","7,617",0,"158,532","31,271"
1977,New Jersey,15.4,"71,011","255,522","74,941","1,365,149","38,510"
1977,New Mexico,34.3,"153,922","242,912",0,"212,605","7,328"
1977,New York,14.6,"336,851","567,877","221,730","2,762,674","342,161"
1977,North Carolina,19.0,"548,103","73,905","60,997","754,860","146,565"
1977,North Dakota,30.6,"107,264","37,650",0,"115,140","21,338"
1977,Ohio,27.3,"1,669,162","867,837","5,039","1,350,669","58,582"
1977,Oklahoma,25.2,"12,381","787,694",0,"457,902","32,743"
1977,Oregon,11.2,"5,223","75,567","69,916","338,296","327,769"
1977,Pennsylvania,25.5,"1,577,975","682,372","191,913","1,716,994","84,322"
1977,Rhode Island,11.6,117,"25,964",0,"143,166","5,295"
1977,South Carolina,18.1,"189,564","141,633","185,645","418,568","80,884"
1977,South Dakota,17.9,"35,614","36,097",0,"104,619","57,133"
1977,Tennessee,23.2,"553,721","208,401",0,"582,671","176,225"
1977,Texas,35.0,"288,187","4,254,885",0,"3,885,371","82,566"
1977,Utah,24.2,"132,845","100,999",0,"211,890","11,709"
1977,Vermont,11.9,719,"4,025","38,097","77,992","19,373"
1977,Virginia,16.8,"187,029","120,734","102,103","900,885","73,803"
1977,Washington,15.9,"102,385","149,077","46,468","600,518","773,465"
